"","county","state","msa","pmsa","pop.density","pop","pop.change","age6574","age75","crime","college","income","farm","democrat","republican","Perot","white","black","turnout"
"1","Autauga","AL",5240,NA,61,34222,11.8999996,5.69999981,4.0999999,4996,14.5,32240,1.79999995,30.8999996,55.9000015,12.3000002,79.3173981,20.0017529,45.5408783
"2","Baldwin","AL",5160,NA,67,98280,35.4000015,9.19999981,6,3329,16.7999992,30199,1.70000005,26.2000008,56.5,16.5,86.0449753,12.8612127,47.2893791
"3","Barbour","AL",NA,NA,29,25417,2,8.19999981,6.4000001,3192,11.8000002,23838,2.4000001,46.4000015,42.9000015,9.80000019,55.5455017,44.0413895,41.039463
"4","Bibb","AL",NA,NA,28,16576,9.19999981,6.69999981,6,0,4.69999981,23714,0.899999976,43.2000008,46.5,10.1999998,78.7403488,20.9821434,40.5405388
"5","Blount","AL",1000,NA,62,39248,10.6000004,7.4000001,5.5999999,2052,7,26323,4.69999981,32.9000015,53.7999992,11.8000002,97.8317337,1.32745612,42.0530968
"6","Bullock","AL",NA,NA,18,11042,3.70000005,8.5,7.5999999,3630,10,17796,2.5999999,67.6999969,26,5.5,27.4950199,72.3238525,43.6152878
"7","Butler","AL",NA,NA,28,21892,0.100000001,8.80000019,8,3530,8,21499,3.5,47.4000015,41.2000008,10.1999998,59.6062508,40.1881981,38.7264748
"8","Calhoun","AL",450,NA,191,116034,-2.79999995,7.4000001,5,4174,14.1999998,28340,0.699999988,38.4000015,48.2000008,11,80.0394745,18.5962734,36.8857422
"9","Chambers","AL",NA,NA,62,36876,-6,9.19999981,7.69999981,3173,8.89999962,26331,1.20000005,45.4000015,43.4000015,10.8999996,63.9304695,35.8525887,35.5000534
"10","Cherokee","AL",NA,NA,36,19543,5.9000001,8.89999962,5.80000019,3223,6.69999981,24932,3.9000001,53.5999985,34.9000015,10.6999998,92.8925934,6.60594606,40.3008766
"11","Chilton","AL",NA,NA,48,32458,8.5,7.80000019,6.0999999,3367,7.5,26203,3,34.2000008,56.2000008,9.39999962,88.2586746,11.3192434,44.5745277
