"Y","X1","X2"
52.34,100.85,32.08
51.9,93.08,39.21
52.8,98.43,33.74
50.29,102.95,34.19
57.79,108.24,35.13
49.41,98.34,30.92
53.28,95.57,37.71
59.71,98.85,44.71
53.32,98.32,33.17
48.53,92.7,31.74
51.59,88.89,37.07
58.52,104.06,38.71
62.93,98.18,43.89
57.62,91.01,41.06
65.64,96.98,41.92
52.85,97.85,35.25
64.43,96.89,45.11
57.25,98.35,39.44
50.82,90.65,38.33
40.48,92.99,25.93
59.68,108.97,36.78
54.35,91.85,42.02
47,104.3,27.2
47.23,93.16,31.37
41.19,94.18,27.87
42.76,89.56,28.69
51.88,105.85,31.04
42.77,89.29,32.78
52.34,92.58,37.82
50.45,98.64,33.36
43.18,83.7,31.93
41.99,88.46,28.32
39.45,94.93,24.82
38.91,96.81,23.88
49.1,93.13,36.17
