"Y","X1","X2","X3"
115,.38,899,56
86,1.65,167,158
19,.16,73,152
6,.08,146,35
23,.02,82,60
147,1.98,2483,1993
27,.15,404,30
140,.25,2438,72
345,.55,780,12
92,.22,517,5
85,.09,346,5
24,.17,82,12
109,.41,1285,5
5,.02,380,5
95,.84,628,32
46,.02,451,5
25,.64,159,5
187,.2,1335,121
5,.04,30,5
47,.02,13,30
118,.24,5,5
112,.72,625,83
79,.45,719,70
52,.23,309,167
52,.06,27,29
7,.37,199,5
13,.13,510,42
80,.24,271,15
86,.96,273,45
26,.29,534,71
53,.25,473,264
185,.28,2932,108
30,.19,658,33
9,.03,103,5
76,.21,2339,5
51,.09,31,36
73,.06,158,5
47,.08,773,5
48,.12,545,67
16,.03,5,5
