AGE,ARMLENGTH,CVDIG1
35.07,76.5,13.5
35.07,76.5,13.5
21.01,77,13
21.01,77,13.6
47.06,75.5,14.3
47.06,75.5,14.9
26,80,15.4
26,80,14.7
53.04,82,15.7
53.04,82,15.8
43.07,79,15.2
39.08,83.5,16.5
39.08,83.5,17
43.07,79,14.7
29.06,81,16
29.06,81,15.8
50.02,86,15.1
25.07,81.5,14.6
25.07,81.5,15.6
25.1,82.5,14.6
47.04,86,17
47.04,86,16.3
37,83,16
37,83,16
34.1,84,16.3
47.01,87.5,17.4
47.01,87.5,17
30.04,81,14.1
23.06,81.5,14.2
23.06,81.5,14.7
30.04,81,13.9
78,81,17.2
41.02,83.5,16.7
41.02,83.5,16.5
28.07,78,14.8
28.07,78,15
36.05,88,17.3
35.04,86,15.3
32,82,16.3
32,82,15.4
38.09,86.5,16.6
38.09,86.5,16
58.07,85,17
58.07,85,16.4
54.02,88,17.6
48.1,92,16.8
48.1,92,17
54.02,88,17.6
45.03,91.5,17.3
45.03,91.5,16.8
35.11,94,17
26.04,88,15.6
51.07,87,16.8
51.07,87,17.4
26.04,88,16.5
35.11,94,16.6
52,88.5,18
44.02,90,17.4
44.02,90,17.3
24.05,91,16.4
24,87,16.1
24,87,16.1
24,87,16
24,87,16
53.05,90,17.5
53.05,90,17.5
52.06,90,18
52.06,90,17.9
53.06,93,18.4
22.04,90,16.4
22.04,90,15.8
46.07,95.5,18.8
46.07,95.5,18.6
47,93.5,18
47,93.5,17.9
39.05,94.5,17.4
42.08,94,17.4
40.09,94,17.7
40.09,94,17.4
42.09,92.5,18.4
20.08,95,19
50.08,94.5,19.1
50.08,94.5,19.2
47.11,97.5,17.8
47.11,97.5,19.3
26.05,96,17.5
26.05,96,18
43.02,98,18
43.02,98,18.8
32.06,98.5,18.3
32.06,98.5,18.6
33.09,97,18.8
33.09,97,19.2
35.02,100,18.5
35.02,100,18.5
26.05,96,19
26.05,96,18.5
25.08,100.5,19.8
25.06,100,18.8
25.06,100,18.4
25.08,100.5,19
30.05,101,18
30.05,101,18.2
36.07,104.5,18.9
36.07,104.5,19.2
35.09,102,21
35.09,102,19.2
21.01,101.5,18.6
21.01,101.5,18.6
40,95.5,20
42.09,92.5,18.4
42.08,94,18.5
35.04,86,16
36.05,88,16.6
