"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
5.22,108.75,83.92,5.3,3.9,1.36,.75,8.44,8.24,6.34,21.4,55.4,74.4
5.38,123.96,78.54,6,3.7,1.62,.56,7.76,7,6.18,15.8,50.8,85.14
3.62,111.04,86.19,3.1,2.85,1.1,.69,6.92,6.61,5.56,30.4,54.36,83.07
3.94,94.26,85.28,4.1,2.7,1.52,.44,6.79,8.52,6.38,16.4,29.1,58.5
4.48,104.43,76.58,3.21,3,1.07,.63,8.79,9.74,6.68,27.8,46.3,76.7
5.28,117.33,81.99,5.65,5.55,1.02,.83,8.98,8.97,8.19,32.6,70.8,90
3.8,93.37,76.61,3.75,4.7,.8,.5,10.52,10.6,10.04,15.8,35.3,64.9
3.14,104.67,82.63,3.2,3.2,1,.7,6.18,6.58,6.02,37.6,64.1,87.5
5.26,120.09,84.84,6.3,7.4,.89,.55,11.85,11.85,11.85,11.7,29.1,41.2
4.87,121.14,89.69,5.5,5.5,1,.56,11.85,11.85,11.85,10.3,16.4,29.7
5.35,124.71,84.65,5.6,7,.8,.4,11.85,11.85,11.29,0,18,47.2
4.3,95.98,80.37,5.78,4.9,1.18,.59,6.48,6.19,5.11,17,48.2,79.6
3.75,87.82,65.79,2.26,1.65,1.37,.53,6.25,7.02,5.03,27.1,39.53,81.8
4.41,112.21,69.78,3.19,2.95,1.08,.57,7.66,8.08,5.51,24.7,48.8,85.9
4.66,108.37,78.72,5,5.9,.85,.49,7.79,9.77,6.1,15,35,70.3
5.19,99.05,73.62,4.2,1.5,2.8,.63,5.15,5.78,4.72,31.4,61.9,86.7
4.32,122.38,75.13,4.39,3.3,1.33,.74,6.2,6.34,5.1,28.25,60.3,78
4.05,95.97,84.38,3.4,2.5,1.3,.59,5.64,8.52,5.61,18.2,29.5,46
3.23,88.25,87.3,4,4,1,.71,3.47,3.43,2.77,21.6,64.5,86
3.99,105.56,86.74,5.3,2.7,1.96,.76,6.4,5.2,6.17,22.5,63,77.8
4.37,102.34,80.18,3.2,1.8,1.77,.85,5.05,4.97,5.42,35.3,57,78
2.67,68.11,65.12,1.7,1.3,1.38,.91,3.97,3.95,4.11,32.4,58.8,82.4
4.75,103.71,73.08,4.6,3.6,1.21,.71,6.34,5.29,6.04,18.85,47.5,72.2
3.19,88.12,85.07,3.2,1.8,1.77,.76,5.08,4.85,5.16,36.2,83.4,93
3.29,102.17,92.68,3.8,2.4,1.58,.5,8.21,6.9,10.6,21.6,28.1,66.7
2.87,95.03,95.67,3,3,1,.75,6.24,5.99,7.5,27,46.7,68.3
