"V1","V2","V3","V4","V5","V6","V7","V8"
.783,2.63,.808,25,38,62,67,6
.909,3.36,.846,,,50,,
.92,2.14,.616,23,25,53,47,6
.727,3.36,.846,25,40,49,58,6
.737,2.93,.731,,,59,,
.6,4.07,.962,19,50,51,35,6
.84,3.15,.885,,,57,,
.85,3.06,.769,,,55,,
.875,3.72,.923,24,23,52,35,6
.792,3.15,.884,,,50,,
.68,4.07,.962,,,56,,
.731,4.64,1,23,30,59,47,3
.826,1.84,.616,,,52,,
.609,2.98,.846,,,56,,
.923,4.64,1,,,53,,
.773,3.36,.846,,,60,,
.714,1.62,.577,23,43,53,42,6
.667,3.72,.923,20,32,59,28,6
.769,1.4,.423,,,51,,
.565,3.55,.885,,,45,,
.824,1.78,.577,,,45,,
.458,1.9,.615,21,46,50,47,6
.84,4.07,.962,,,59,,
.72,4.07,.962,,,53,,
.917,3.72,.923,24,31,43,37,6
.56,4.07,.926,,,62,,
.84,4.07,.962,26,22,50,40,6
.72,4.07,.962,,,52,,
.783,1.74,.577,,,54,,
.696,1.62,.539,,,57,,
.625,3.72,.923,22,37,55,40,6
.737,1.12,.423,,,47,,
.9,1.92,.654,22,40,46,42,6
.565,3.55,.885,22,43,56,64,6
.68,4.07,.962,,,54,,
.76,4.07,.962,,,58,,
.958,1.9,.615,24,36,46,43,6
.652,2.98,.846,,,54,,
.56,4.07,.962,,,56,,
.5,1.92,.654,24,42,45,46,6
.826,2.63,.808,,,60,,
.783,2.58,.808,,,60,,
.783,2.63,.808,,,49,,
.75,2.14,.692,22,37,62,58,6
.913,2.11,.693,,,46,,
.952,1.49,.539,26,32,48,36,6
.8,4.07,.962,,,59,,
.87,3.55,.885,,,48,,
.652,1.97,.654,,,59,,
.64,4.07,.962,25,36,56,54,6
.692,4.64,1,23,23,58,25,6
.917,3.72,.923,,,55,-,
.76,4.07,.962,22,35,52,33,6
.739,3.55,.885,24,43,58,43,6
.857,3.2,.808,,,59,,
.727,3.36,.846,,,61,,
.833,2.8,.846,,,56,,
.84,4.07,.962,21,11,49,58,3
.478,2.27,.731,,,60,,
.92,4.07,.962,24,40,64,50,6
.731,4.64,1,20,40,51,50,6
.92,4.07,.962,23,50,61,53,6
.72,4.07,.962,,,57,,
1,2.79,.807,25,47,56,30,6
.708,3.72,.923,24,16,57,42,6
1,4.64,1,25,48,55,54,6
.739,3.55,.885,23,27,57,38,6
.6,4.2,.962,22,38,57,33,6
.962,4.64,1,25,37,63,31,6
.772,2.22,.731,24,48,51,41,6
.8,2.92,.847,24,28,47,45,6
.923,4.64,1,25,45,54,48,6
.87,3.5,.885,24,44,54,48,5
.808,4.64,1,24,43,57,58,6
1,4.07,.962,25,30,59,49,6
.87,3.55,.885,26,44,61,35,6
.923,4.64,1,,,52,,
.958,2.58,.808,27,32,52,33,6
.826,3.5,.885,21,31,61,44,6
.962,3.72,.923,23,31,57,38,6
.783,3.5,.885,23,46,60,36,6
.905,3.2,.808,23,34,55,37,4
1,4.64,1,23,33,57,33,6
.875,3.72,.923,21,34,55,29,6
.885,4.07,.962,,,52,,
.913,2.92,.846,23,44,57,47,6
.962,4.07,.961,24,36,54,43,6
.682,3.36,.846,20,41,61,34,1
.81,2.63,.769,20,40,57,43,6
.72,2.79,.808,25,23,64,43,3
.875,2.8,.846,24,43,59,43,2
.923,3.72,.924,25,40,58,33,6
.909,3.36,.846,24,43,56,41,6
.92,4.07,.962,24,40,52,28,6
1,3.72,.923,21,45,64,46,6
.609,3.5,.885,22,25,49,35,6
