"Y","X1","X2","X3","X4","X5","X6"
45,74,29,40,66,93,47
65,65,50,64,68,74,49
73,71,67,79,81,87,33
63,64,44,57,59,85,37
83,79,55,76,76,84,33
45,56,48,54,59,50,42
60,68,41,66,71,69,37
73,76,49,65,75,67,43
74,83,71,77,76,84,33
69,62,44,57,67,81,43
66,54,52,67,63,68,36
69,61,46,66,64,75,43
71,63,56,67,60,64,35
70,84,82,68,64,78,37
79,78,53,82,84,78,39
83,65,49,82,65,55,38
75,86,63,79,84,80,41
67,61,64,75,60,81,45
67,71,45,67,80,86,48
52,59,67,64,69,79,54
52,71,32,44,48,65,43
66,62,51,72,71,81,43
55,67,51,60,68,81,39
42,65,41,45,55,58,51
65,55,41,58,71,76,35
68,78,65,73,93,77,42
80,76,57,84,85,79,35
50,58,43,55,56,84,40
87,86,70,81,82,75,30
84,83,38,83,69,79,41
