"AGE","ATT"
50,0
59,0
42,0
50,0
34,0
49,0
67,0
44,0
53,0
45,0
79,0
46,0
62,0
58,0
70,0
60,0
67,0
64,0
62,0
50,0
61,0
69,0
74,0
65,0
80,0
69,0
77,0
61,0
72,0
67,0
73,0
75,0
71,0
69,0
78,0
69,0
74,0
86,0
49,0
63,0
63,0
72,0
64,0
72,0
79,0
75,0
70,0
73,0
66,0
75,0
73,0
71,0
72,0
69,0
76,0
60,0
79,0
78,0
62,0
73,0
46,0
57,0
53,0
40,0
73,0
68,0
72,0
59,0
64,0
78,0
68,0
67,0
55,0
71,0
80,0
75,0
69,0
80,0
79,0
71,0
69,0
78,0
75,0
71,0
69,0
77,0
81,0
78,0
76,0
84,0
74,0
59,0
81,0
74,0
77,0
59,0
75,0
68,0
81,0
74,0
65,0
81,0
62,0
85,0
84,0
39,0
52,0
67,0
82,0
84,0
79,0
81,0
74,0
85,0
92,0
69,0
83,0
82,0
85,0
82,0
80,0
74,1
50,1
55,1
66,1
49,1
55,1
73,1
41,1
64,1
46,1
65,1
50,1
61,1
64,1
59,1
73,1
73,1
65,1
67,1
60,1
69,1
61,1
79,1
66,1
68,1
61,1
63,1
70,1
68,1
59,1
64,1
62,1
74,1
61,1
69,1
76,1
71,1
61,1
46,1
69,1
66,1
57,1
60,1
63,1
63,1
56,1
70,1
70,1
63,1
63,1
65,1
67,1
68,1
84,1
69,1
78,1
69,1
79,1
83,1
67,1
47,1
57,1
66,1
