"INDEX","PART"
17,0
7,0
19,0
16,0
23,0
27,0
23,0
18,0
21,0
27,0
14,0
25,0
19,0
23,0
6,0
8,0
15,0
30,0
18,0
10,0
29,0
8,0
12,0
27,0
12,0
9,0
16,0
6,0
22,0
10,0
9,0
11,0
14,0
21,0
13,0
15,0
21,0
12,0
9,0
29,0
4,0
18,0
22,0
5,0
27,0
16,0
11,0
19,0
23,0
22,0
25,0
11,0
20,0
11,0
28,0
12,0
19,0
18,0
13,0
12,0
7,0
12,0
14,0
13,0
19,0
6,0
8,0
13,0
4,0
15,0
23,0
19,0
14,0
19,0
17,0
13,0
14,0
14,0
17,0
26,0
15,0
19,0
16,0
10,0
15,0
22,0
8,0
15,0
20,0
12,0
2,0
6,0
14,0
19,0
14,0
19,0
16,0
9,0
22,0
17,0
14,0
14,0
5,0
5,0
14,0
20,0
21,0
17,0
17,0
10,0
13,0
10,0
20,0
3,0
18,0
9,0
10,0
5,0
15,0
13,0
16,0
23,1
3,1
24,1
13,1
26,1
19,1
25,1
15,1
22,1
13,1
21,1
15,1
12,1
25,1
29,1
17,1
21,1
8,1
19,1
16,1
24,1
17,1
26,1
12,1
19,1
13,1
23,1
11,1
17,1
29,1
6,1
20,1
25,1
6,1
29,1
22,1
11,1
12,1
20,1
18,1
24,1
18,1
8,1
10,1
17,1
14,1
21,1
25,1
25,1
16,1
23,1
19,1
24,1
11,1
17,1
19,1
20,1
17,1
31,1
0,1
18,1
18,1
15,1
