"ATTEND","GOALDIFF","GOALSPEC","INTER","TSE","SSE","MONTHS"
78.26,.3,1.52,.46,100,97.5,53
59.09,2.3,-1.15,-2.64,83.33,55,29.16
40,-.03,.19,-.01,60,81.25,29.16
64.29,.3,-2.48,-.74,50,70,29.16
54.55,-.37,.85,-.31,96.67,93.75,3
13.33,1.97,-1.48,-2.91,50,53.75,29.16
81.82,.3,.19,.06,96.67,72.5,44
63.64,.3,-.48,-.14,100,90,32
54.55,1.3,-.48,-.62,100,91.25,29.16
54.55,1.3,1.52,1.98,100,100,29.16
13.68,1.3,-1.15,-1.49,46.67,65,40
57.14,.3,1.52,.46,50,100,39
21.74,.3,-2.15,-.64,66.67,90,4
82.61,-.7,.85,-.6,90,96.25,10
78.26,-1.7,1.52,-2.58,100,95,44
47.83,2.3,.19,.43,100,93.75,8
52.17,1.3,1.52,1.98,100,100,20
52.17,-1.7,1.52,-2.58,100,97.5,20
39.13,.3,-.48,-.14,100,95,6
60.87,.3,-.48,-.14,80,80,16
69.57,.3,.19,.06,50,70,3
8.7,.3,-2.48,-.74,50,100,4
13.04,-1.03,1.52,-1.57,100,98.75,4
82.61,-.37,1.52,-.56,100,98.75,20
82.61,.3,.85,.26,96.67,92.5,19
73.91,.3,.85,.26,100,82.5,2
86.96,1.97,-.15,-.29,66.67,70,20
39.13,-.37,.19,-.07,80,91.25,20
95.65,.3,-.48,-.14,91.67,74.38,3
43.48,-2.7,-1.81,4.9,100,90,15
43.48,.3,-1.15,-.34,63.33,72.5,15
95.65,2.3,1.52,3.5,100,98.75,131
73.91,.3,.85,.26,83.33,95,3
47.83,-1.7,1.52,-2.58,100,100,20
82.61,2.3,1.52,3.5,100,98.75,29
47.83,-1.03,.19,-.19,93.33,90,8
56.52,.3,-2.48,-.74,80,67.5,20
56.52,.3,-2.48,-.74,80,67.5,20
26.67,2.3,-.48,-1.1,100,100,40
53.33,-1.03,-.15,.15,100,90,16
50,-.03,.52,-.02,96.67,86.25,32
37.5,3.3,1.52,5.02,60,90,43
75,-.37,-.48,.18,96.67,80.63,1
100,.63,-.15,-.09,100,100,27
100,-1.7,.85,-1.45,100,95,27
73.33,.3,-1.48,-.44,60,76.25,23
95.24,-1.03,1.19,-1.23,96.67,90,132
86.67,.63,-2.15,-1.36,90,67.5,25
80,-1.03,1.19,-1.23,83.33,90,23
40,1.63,-.48,-.78,46.67,60,148
86.67,-1.7,1.52,-2.58,100,91.25,3
33.33,1.63,-.15,-.24,50,22.5,31
80,.3,1.52,.46,93.33,93.75,16
86.67,.3,.85,.26,66.67,97.5,54
80,-.37,.85,-.31,100,95,14
80,.3,.52,.16,83.33,92.5,33
57.14,.3,1.52,.46,53.33,93.75,61
66.67,.3,.19,.06,100,98.75,69
67.57,1.3,1.52,1.98,100,100,9
80.95,.63,-2.48,-1.57,96.67,90.38,33
47.62,.3,-.48,-.14,100,85,33
85.71,-1.7,1.52,-2.58,93.33,98.75,22
66.67,-1.7,.85,-1.45,90,98.75,33
57.14,.3,1.52,.46,63.33,90,33
66.67,1.3,.52,.68,100,76.25,33
86.36,-1.7,1.19,-2.02,100,91.25,3
85.71,-.37,-.48,.18,100,100,23
66.67,2.3,-.48,-1.1,96.67,54.88,33
43.48,1.3,-1.48,-1.92,43.33,58.75,29.16
41.94,.3,.19,.06,63.33,80,29.16
68.75,-1.7,1.52,-2.58,30,98.75,29.16
86.67,-1.7,-.48,.82,63.33,97.5,29.16
39.13,4.3,1.52,6.54,100,100,29.16
66.67,.3,-.48,-.14,56.67,85,29.16
78.26,-1.7,1.52,-2.58,66.67,87.5,29.16
95.65,-1.7,1.52,-2.58,100,100,29.16
95.65,-.7,1.52,-1.06,96.67,96.25,29.16
73.91,1.63,1.52,2.48,100,98.75,29.16
13.04,1.63,-.48,-.78,50,50,29.16
68.75,.63,-.48,-.3,46.67,55,29.16
95.65,-1.7,1.52,-2.58,100,100,29.16
69.57,.3,1.52,.46,80,82.38,29.16
86.96,-1.7,1.52,-2.58,91.67,90,29.16
69.57,.3,1.52,.46,100,96.25,29.16
60.87,.3,.85,.26,100,81.25,29.16
40,.3,-2.48,-.74,70,57.5,29.16
56.25,-1.7,1.52,-2.58,66.67,98.75,29.16
60.87,-2.7,-5.48,14.8,70,68.75,29.16
12.5,.3,-2.48,-.74,46.67,71.25,29.16
25,.3,-2.48,-.74,63.33,61.25,29.16
60.87,.3,1.52,.46,100,98.75,29.16
56.52,-2.7,-5.48,14.8,50,41.88,29.16
82.61,-2.7,-5.48,14.8,100,68.75,29.16
68.75,.3,1.52,.46,80,80,29.16
78.26,.3,-.48,-.14,50,63.75,29.16
78.26,.3,-.48,-.14,50,57.5,29.16
73.91,-1.7,1.52,-2.58,90,78.75,29.16
60,-1.7,1.52,-2.58,100,100,29.16
82.61,.3,1.52,.46,83.33,66.25,29.16
47.83,.3,-.48,-.14,80,90,29.16
65.22,-1.7,1.52,-2.58,100,97.5,29.16
69.57,.3,.19,.06,96.67,97.5,29.16
73.91,-1.7,1.52,-2.58,96.67,96.25,29.16
39.13,1.3,.52,.68,76.67,66.25,29.16
86.96,-1.7,-.48,.82,100,93.75,29.16
91.3,.3,-.81,-.24,100,100,29.16
30.77,.3,-.48,-.14,50,76.25,11
47.62,.3,.19,.06,100,97.5,2
61.9,.3,-.48,-.14,75,73.75,129
80.95,.3,-2.48,-.74,56.67,48.75,9
47.62,.97,1.52,1.47,100,95,3
71.43,2.8,1.52,4.26,86.67,88.75,29.16
90.48,.3,1.52,.46,63.33,91.25,5
42.86,.3,1.52,.46,83.33,92.5,14
85.71,.3,1.52,.46,90,92.5,117
66.67,.3,-.48,-.14,56.67,58.75,29.16
33.33,-1.7,-.48,.82,93.33,65,29.16
76.19,4.3,1.52,6.54,96.67,97.5,38
80.95,.3,-5.48,-1.64,90,81.25,33
100,.3,1.52,.46,93.33,98.75,140.5
68.18,-2.7,-5.48,14.8,43.33,50,56.5
59.09,.3,-1.15,-.34,96.67,100,29.16
72.97,.3,1.52,.46,100,76.25,17.5
13.33,2.3,-.48,-1.1,40,65,29.16
65.22,2.3,-.48,-1.1,20,70,3.5
42.86,-1.7,-.48,.82,100,100,2.5
66.67,-.37,-.48,.18,36.67,75,29.16
9.52,-1.37,.52,-.71,93.33,100,20.5
38.1,.3,1.52,.46,100,100,33.5
20,.97,.52,.5,43.33,83.75,29.16
53.33,-1.7,1.52,-2.58,66.67,100,21.5
61.9,.3,-.48,-.14,96.67,90,15.5
86.67,-1.7,-.48,.82,96.67,100,1.5
42.86,.3,-.48,-.14,80,77.5,17.5
66.67,.97,-.81,-.79,76.67,90,29.16
100,.3,1.52,.46,66.67,100,9.5
95.24,-.7,1.52,-1.06,100,100,32.5
50,2.3,.85,1.96,31.67,96.25,29.16
93.75,.3,1.52,.46,63.33,100,6.5
28.57,.3,-.15,-.04,0,25,29.16
71.43,-1.7,.52,-.88,100,100,29.16
61.9,-1.7,.19,-.32,0,0,29.16
