"INTENT","SS","ATT","KNOW","CHILD","SE","YRS"
6,15,36,5,1,34,2
,6,40,13,3,,3
1,9,51,10,1,52,1
6,11,47,10,3,26,2
7,6.82,48.25,11,1,,2
,14,48.25,16,3,39,1
,13.38,37,14,1,37,2
5,7.82,58,12,1,47,1
6,6,52,6,3,25,1
,10,40,10,1,,1
3,18,43,11,1,36.59,1
7,10,39,9,1,34,1
5,11,35,12,3,,3
5,13.83,41,11,3,36,3
3,24,41.25,11,3,,2
1,6,40,10,1,,1
6,15,47,7,3,35,1
5,8,46,5,1,28,3
3,19,37.75,9,3,,1
2,42,40.25,7,2,43,3
4,15,23,9,3,35,2
6,11,39,10,1,50,3
7,14,44,7,1,44,1
6,14,44,14,3,38,2
2,12,38,7,2,,2
6,9,43.75,9,3,38.59,1
7,8,46.5,14,2,26,2
6,18,41,13,1,24,1
2,19,45,9,1,,1
7,14,40,11,3,,3
6,14,30,11,1,35,1
4,15,50,11,1,34,1
,8,42,10,3,53,1
6,12,39,14,3,54,2
5,13,43.75,5,3,23,3
7,10,41,12,3,32,1
7,12,50,11,3,24,2
6,10,38,10,2,24,3
7,15,43,8,3,30,3
6,6,40,17,2,34,3
4,19,39,11,3,43,2
7,6,36,16,3,,3
6,11,30,11,3,49,2
3,10,48,7,3,44,2
7,15,36,11,1,32,3
6,11,44,14,1,34,1
5,10,48,12,3,30,3
5,15,42,15,1,,1
5,13,36,12,3,39,1
6,13,31,13,1,49,2
5,12,38,15,3,49,1
2,13,38,13,1,,3
6,14,44,15,1,,2
5,16,50,6,1,27,1
6,12,47,13,1,37,1
7,6,34,16,1,50,3
6,12,51,9,2,30,3
6,6,41,13,3,32,3
5,13,44,12,3,51,2
7,6,48,10,2,35,2
5,22,30,14,1,22,2
7,9,41,11,1,53,2
6,14,44,13,2,30,1
7,9,48,12,3,42,3
7,11,43,10,1,29,3
6,6,37,10,3,28,3
7,16,42,13,1,48,1
7,14,43,11,3,29,3
7,6,33,9,1,47,3
7,15,43,8,1,31,1
6,10,42,14,3,34,2
6,19,41,8,1,38,1
6,13,46,8,1,47,2
6,7,35,12,3,46,3
6,12,43,9,3,25,2
4,11,34,13,2,40,2
6,16,37,13,3,45,3
2,35,41,10,3,27,2
6,11,45.5,11,3,44,2
6,6,35,12,3,42,2
7,9,41,9,3,30,1
,6,33,15,2,38,3
7,6,37,10,1,32,1
7,12,42,8,1,,1
7,6,34,16,3,27,1
7,30,50,12,2,41,3
6,8,49,9,1,28,3
7,14,32,9,3,30,3
7,9,37,12,1,32,1
4,21,39,10,1,34,2
,8,44,9,3,26,3
4,24,25,11,3,49,1
6,11.82,47,6,3,31,3
6,11.82,44,12,3,29,1
7,11.82,43,13,1,,1
6,12.82,39,9,2,36,1
7,8.82,39,10,1,45,1
6,23.82,38,10,2,43,2
7,9,33.75,8,3,48,1
6,9,43,11,3,51,3
7,17,44,13,1,34,1
6,11,36,10,1,16,2
5,16,46,8,1,29,3
6,11,54,13,1,43,2
6,6,43,10,3,43,3
5,9,41,8,1,30,2
7,18,49,14,3,20,1
7,16,40,13,2,43,1
6,12.82,44,15,1,45,2
,16.82,39,11,3,23,2
6,13,41.5,13,1,47,3
7,9.82,37,14,1,41,2
7,6,39,14,1,49,1
7,14,37,6,1,53,1
6,18,48,12,1,22,1
1,12,33,15,3,48,2
7,18,46,8,1,,3
6,16,46,15,3,41,1
,9,41,10,2,35,3
6,11,40,13,1,56,3
2,17,47,10,2,35,2
5,30,55,15,1,15,1
,11,41.75,1,1,,1
6,17,38,11,1,36,2
6,13,42,9,1,,3
7,13,56,6,3,30.59,3
6,10,42,12,3,21,2
7,6,49,7,2,23,2
6,13,44,7,3,,3
6,17,42,15,3,26,1
6,12,39,12,1,,3
6,21,44,8,3,24,3
1,17,40,12,3,30,2
6,13,51,13,1,31,1
6,16,54,11,3,29,2
7,10,37,10,2,42,1
6,17,36,11,3,45,1
7,10,50,13,1,37,2
3,15,38,10,3,31,2
6,20,50,12,1,17,2
5,35,44,9,1,29,2
7,9,44,9,1,,1
6,15,33,9,2,32,2
6,23,43,15,2,41,3
6,11,35,6,1,57,1
7,7,43,14,3,33,1
6,15,50,13,3,32,1
6,9,43,13,1,37,1
6,7,43,13,3,35,1
,16,37,12,1,31,1
5,31,48,11,3,19,1
6,20,37,13,1,30,3
,9,49,7,3,34,3
7,15,35,13,1,33,1
6,15,41,10,1,44,1
6,11,47,12,1,34,1
2,15,38,11,3,31,1
7,8.89,40,9,2,,3
6,11,50,14,3,43,1
7,6,37,10,1,51,3
,15,32,9,3,,3
7,6,39,6,1,38.12,1
6,9,45.25,10,3,35.39,3
7,11,43,11,2,37,3
6,16,40,13,2,23,3
6,12,44,9,1,24,2
6,8,36,11,2,43,2
5,14,46,13,3,31,3
6,6,41,15,1,48,2
,9,49,9,3,20,3
6,12,50,15,1,41,1
6,34,37,13,2,36,2
6,14,41,11,3,19,2
7,12,38,13,1,29,1
5,8,40,9,1,43,1
4,14,38,8,3,37,3
,23,35,14,1,31,1
6,17,33,12,1,34,1
7,26,42,16,1,32,1
6,8,34,6,3,43,1
7,6,43,16,3,43,2
7,15,37,13,2,,2
7,35,38,13,2,,2
7,6,58,12,1,65,2
6,9,48,12,3,42,3
,8,34,5,3,32,1
6,10.83,35,9,1,,2
5,9,45,15,1,35,2
5,22,40,10,3,25,3
7,22.86,36,16,2,30,3
6,17,40,9,1,25,1
7,8,44,15,2,30,2
7,14,40,5,3,25,2
7,9,42,8,1,39,3
6,13,42,13,2,,3
6,14,35,11,1,34,1
7,16,50,16,2,32,2
5,14,41,15,1,41,1
7,15,41,8,3,,3
7,11,43,11,1,39,1
6,18,53,12,1,32,1
,16,36,4,3,13,3
6,15,41,13,1,26,1
7,16,43,11,3,36,2
5,20,45,7,1,32,1
6,15,42,10,1,41,1
6,12,39,14,3,33,3
3,22,40,12,3,38,2
5,15,57,12,3,40,1
7,6,38,16,1,48,2
6,14,50,8,1,,1
5,9,47,10,2,39,1
