"W","V","GROUP"
6.2,2.936,"I"
7.5,3.616,"I"
7,1.735,"I"
7.1,2.557,"I"
7.8,2.883,"I"
8.2,2.318,"I"
8.3,3.689,"I"
8.5,4.133,"I"
8.6,2.989,"I"
8.8,3.5,"I"
10,4.235,"I"
10,4.804,"I"
10.2,2.833,"I"
10.3,4.068,"I"
10.6,3.64,"I"
10.7,4.067,"I"
10.8,8.366,"I"
11,4.614,"I"
12.5,3.168,"I"
13.1,4.518,"I"
13,4.72,"C"
14,5.23,"C"
14,5.85,"C"
15,4.17,"C"
16,5.01,"C"
17,5.81,"C"
17,7.03,"C"
17.5,6.62,"C"
17,4.98,"C"
17.5,6.45,"C"
20,7.73,"C"
23,7.67,"C"
25,9.82,"C"
37,14.4,"C"
28,10.9,"C"
47,15.4,"C"
29,9.86,"C"
37,14.4,"C"
61,19.7,"A"
80,23.7,"A"
96,20,"A"
75,19.5,"A"
60,19.6,"A"
68,21.5,"A"
72.2,21.9,"A"
87,30.9,"A"
66.5,20.4,"A"
